ts,year,month,day,dp,rmm,wdir,ws,t,rh,p
2014-06-18,2014,6,18,5.090527838033258,2.149999999999999,281.0,3.8828633405639885,11.247288503253795,67.44830079537238,998.5558929862583
2014-06-19,2014,6,19,6.228778018799724,2.010000000000001,309.0,3.2276211135213266,12.421836587129421,67.51482284887925,994.830513376714
2014-06-20,2014,6,20,5.793347794649312,7.289999999999991,304.0,2.4674620390455533,11.24020245842369,70.86261749819234,993.0475777295655
2014-06-21,2014,6,21,2.708170643528566,5.839999999999993,264.0,3.2716558206796837,8.82740419378161,66.14605929139552,996.4812725958004
2014-06-22,2014,6,22,3.5525668835863957,7.749999999999989,349.0,2.7307302964569793,8.856182212581349,70.4287780187997,999.3099060014488
2014-06-23,2014,6,23,5.049457700650756,1.4900000000000009,23.0,2.1998553868402033,9.645263919016639,74.22415039768619,999.5950108459866
2014-06-24,2014,6,24,7.340130151843816,5.759999999999997,28.0,1.7727404193781633,11.64916847433112,75.57556037599421,1002.7688358640638
2014-06-25,2014,6,25,4.610339840925522,0.6800000000000004,315.0,2.7631236442516283,12.151916124367293,61.01301518438178,1004.7045553145247
2014-06-26,2014,6,26,6.037816341287055,2.509999999999995,73.0,1.8097613882863344,11.987707881417249,67.44323933477946,1008.366232827178
2014-06-27,2014,6,27,5.52603036876355,1.1200000000000006,231.0,1.9383224873463507,12.68908170643531,62.88864786695589,1011.7185104844546
2014-06-28,2014,6,28,5.455242227042657,0.4800000000000002,113.0,2.3599421547360846,14.574114244396261,56.57772957339118,1012.2063629790335
2014-06-29,2014,6,29,10.109399855386844,13.349999999999977,17.0,4.075126536514819,12.63434562545204,85.20390455531454,1004.9251626898055
2014-06-30,2014,6,30,10.974403470715808,2.9399999999999897,321.0,2.5895878524945792,13.207736804049166,86.75921908893709,999.2373101952257
2014-07-01,2014,7,1,9.359508315256653,3.109999999999993,315.0,1.981561822125811,12.982791033984128,79.1294287780188,1004.0124367317468
2014-07-02,2014,7,2,9.24642082429504,1.0000000000000004,293.0,3.420028922631954,14.271294287780181,73.15835140997831,1003.0897324656504
2014-07-03,2014,7,3,10.046637744034756,0.6600000000000005,197.0,4.996023138105568,14.397975415762799,75.83297180043384,1004.8140997830775
2014-07-04,2014,7,4,11.007664497469289,1.3900000000000003,264.0,3.9080260303687715,16.467100506146043,71.80260303687636,1004.5708604483043
2014-07-05,2014,7,5,8.913015184381758,0.3600000000000002,107.0,1.9154013015184366,16.684526391901645,62.67751265365148,1009.1447577729612
2014-07-06,2014,7,6,7.568112798264622,0.27,68.0,3.1727404193781603,18.38604483007954,51.646420824295014,1012.5725958062221
2014-07-07,2014,7,7,11.540708604483022,0.31000000000000005,101.0,3.641287057122196,20.210701373825003,58.478669558929866,1016.1485177151131
2014-07-08,2014,7,8,11.805784526391923,0.1,51.0,2.850542299349243,21.163557483730997,55.77584960231381,1016.1978308026023
2014-07-09,2014,7,9,10.887129428778003,0.25000000000000006,113.0,1.650108459869848,23.549240780911088,46.219088937093275,1013.0092552422261
2014-07-10,2014,7,10,10.840057845263889,6.269999999999995,84.0,4.843817787418655,16.222776572668124,70.86261749819234,1015.0577729573414
2014-07-11,2014,7,11,7.327693420101226,0.8600000000000004,73.0,3.271655820679683,15.306290672451182,60.11496746203905,1017.8294287780135
2014-07-12,2014,7,12,9.555459146782349,0.7500000000000004,34.0,3.796746203904555,17.23716558206799,61.71872740419378,1014.0154013015168
2014-07-13,2014,7,13,14.230441070137433,0.6300000000000003,96.0,3.8450469992769367,20.627910339840952,67.09978308026031,1007.1804772234315
2014-07-14,2014,7,14,14.373246565437489,2.0300000000000007,107.0,2.249891540130152,19.075921908893672,75.1995661605206,1006.873608098339
2014-07-15,2014,7,15,14.021330441070068,2.9999999999999942,248.0,3.2856832971800483,18.23521330441067,76.81489515545914,1008.1829356471395
2014-07-16,2014,7,16,13.542010122921154,3.359999999999996,236.0,3.3736804049168434,16.917064352856098,81.39913232104121,1010.2378886478634
2014-07-17,2014,7,17,13.033622559652963,1.3200000000000007,236.0,2.0610267534345645,18.484598698481587,72.23716558206797,1013.1420824294983
2014-07-18,2014,7,18,14.38091106290674,1.6200000000000012,259.0,1.680766449746927,19.837382501807657,72.93637020968909,1013.8454085321715
2014-07-19,2014,7,19,11.531308749096157,0.8600000000000004,90.0,1.8006507592190895,21.190817064352792,56.184381778741866,1013.8029645697757
2014-07-20,2014,7,20,12.800578452639177,1.1700000000000006,360.0,1.8049891540130147,21.376644974692702,59.95806218365871,1012.554374548085
2014-07-21,2014,7,21,11.050325379609548,2.040000000000001,338.0,2.3143167028199576,21.485394070860405,53.6941431670282,1013.3949385394067
2014-07-22,2014,7,22,10.64193781634126,1.7900000000000011,349.0,2.442805495300072,22.662183658712923,48.28054953000723,1017.1540130151849
2014-07-23,2014,7,23,11.823355025307293,2.1000000000000005,309.0,2.495444685466377,25.056760665220555,44.96167751265365,1017.1310918293651
2014-07-24,2014,7,24,14.321981200289217,2.19,107.0,2.229718004338394,23.43087490961676,57.07592190889371,1015.6107013738301
2014-07-25,2014,7,25,14.525813449023845,1.3900000000000008,253.0,1.9162689804772206,24.080404916847378,57.59436008676789,1015.8451916124307
2014-07-26,2014,7,26,14.685177151120735,1.570000000000001,287.0,2.2077368040491727,25.591323210412146,52.995661605206074,1014.5009399855422
2014-07-27,2014,7,27,14.466232827187293,1.610000000000001,107.0,1.7006507592190896,25.284381778741857,52.56182212581345,1013.7950108459856
2014-07-28,2014,7,28,16.473897324656537,2.23,219.0,2.4004338394793927,24.975632682574034,61.51048445408532,1009.1653651482304
2014-07-29,2014,7,29,17.51373825018074,3.2699999999999956,68.0,2.450831525668837,23.648590021691973,69.26536514822848,1004.4346348517703
2014-07-30,2014,7,30,17.929562594268482,3.12,152.0,1.2158371040723985,20.819457013574656,84.5444947209653,1004.2196078431346
2014-07-31,2014,7,31,,,,,,,
2014-08-01,2014,8,1,13.152101910828055,0.9400000000000006,231.0,4.8831847133757975,22.07630573248405,57.6140127388535,1007.4619108280264
2014-08-02,2014,8,2,14.28105567606652,1.9300000000000015,146.0,2.572017353579176,21.800216919739704,65.02386117136659,1013.6906001446132
2014-08-03,2014,8,3,15.62979031091825,1.7800000000000011,107.0,4.11344902386117,22.14540853217642,68.30874909616774,1016.0543745480786
2014-08-04,2014,8,4,14.966738973246597,1.560000000000001,141.0,3.9646420824295006,23.904049168474298,58.475054229934926,1014.946782357189
2014-08-05,2014,8,5,15.600723065798993,1.320000000000001,113.0,3.8539407086044806,23.91807664497461,61.211858279103396,1012.8858279103459
